"Table S1 Complete dataset used from train and validated machine learning methods, which are collected from literature data. ",,,,,,,,,,,,,,,,
Citation,Sample Name,Tectonic Setting,,Latitude ,Longitude ,Rock Name,Rock Type,P,Ti,Y,Nb,Dy,Yb,U,Hf,Th
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,138.9,9.427444548,594.513693,9.330624938,56.58559494,175.1662027,55.13,9482,23.68
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,190.1465248,13.35893625,628.2569607,12.74637593,68.70343436,182.160179,76.8485898,9623,36.2150079
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,141.8155636,8.942953673,545.0408816,9.333067138,58.08351466,167.3339522,63.67950138,10251,26.6879208
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,331.0066525,7.88798412,1896.041865,13.42512663,200.6944841,505.8355215,275.2928327,11091,191.9494378
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,249.205396,7.498074136,850.5202288,20.22582703,91.16759297,254.3413776,223.1531157,11394,108.844311
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,220.02,9.897818597,1290.692789,11.07447422,131.210338,313.5765024,157.44,11308,94.66
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,290.93,7.512028838,962.1476802,17.68764742,94.86722498,289.1946166,167.43,11581,79.94
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,501.1638891,7.731258359,3053.444843,21.38244723,324.3640062,823.5311125,623.9033109,12267,470.1476548
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,229.0300899,7.792271958,841.9671615,18.33590076,85.65354811,243.1103802,175.0260573,11657,80.31028096
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,808.2835953,17.59518819,8280.611426,564.7636499,867.1057569,1955.499443,4535.192189,12123,3692.727442
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,140.3382614,11.01873573,598.9203513,8.842086089,67.86318697,174.8906417,56.16154399,9480,28.26217865
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,533.979305,9.567754846,1631.989529,31.83770878,162.5834097,498.8057441,430.7414743,13073,303.1745624
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,307.3806032,7.806039638,1255.231429,16.81977032,134.1283624,367.1926177,234.5575992,11581,131.0576199
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,296.98,8.482290233,1077.837539,18.83408654,115.9782764,340.7606771,217.85,11804,129.66
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,306.51,7.829166834,1154.497491,21.49962527,123.6719049,341.6568407,259.4,10701,137.01
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,201.1572419,7.300348466,614.3642861,15.40388243,64.83112778,194.5518532,143.2468248,11267,58.85071929
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,527.1484935,7.387506995,1930.934724,13.94494907,226.4605455,574.6561128,347.9939751,11334,220.7226549
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,191.27,12.27418546,623.5624064,15.25917564,67.79917212,181.8688209,57.07,9271,28.52
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,208.76,12.43172313,866.8224385,12.24012808,97.73007196,245.8750992,91.05,9589,47.16
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,255.6158924,10.5339515,1988.76686,10.14046084,240.1882801,471.4518603,166.5545642,8886,111.2217335
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,215.9567778,13.69710537,730.5620238,11.46471633,83.16932936,210.6995897,84.09741003,9230,43.29629456
